id,logo_path,name,origin_country
2531,/pC2iDCDCvV85vOBP7a5Ukxuc0Du.png,Media Rights Capital,US
3096,/fkZTZ4veYYr3lwr2riVrVAOfeqD.png,Tyler Perry Studios,US
3130,/3F6llhDScTRKEFaNoQxYk9T8JHQ.png,Tempo Productions,GB
84988,/rzpfuMEMDQnmqp0YTFMEqgfDrxY.png,42,GB
131268,,Koliko Films,
104759,,EFC Films,
130465,,Prowess Pictures,
112520,,Rockhill Studios,
127879,,Fresh Bread,
57430,/a637H7tJRLC9fdECq3vulT7W4jC.png,Pulse Films,GB
1382,/sOg7LGESPH5vCTOIdbMhLuypoLL.png,PolyGram Filmed Entertainment,US
14801,/bnlD5KJ5oSzBYbEpDkwi6w8SoBO.png,Apple Inc.,US
96451,/kOFGD0xg4i3PG0QtPi9GZulDdcq.png,Couronne Nord,CA
132947,,WulfPak Productions,
6847,,Beech Hill Films,US
288,/wdmwQuV4R1MIr8A78izZkC184uC.png,BBC Films,GB
7281,/lkqIuaKTm2sg3umwTBScmqyzLX5.png,British Film Institute,GB
5340,/zHQ48Hg1In6SJB7WWCqVBfWsSwv.png,Left Bank Pictures,GB
7396,,Pathe,GB
130539,,Rococo Films,
122289,,Emperor Motion Pictures,
24307,/xJo66MG6C99FeO81ddXVswjEmSB.png,UFA Fiction,DE
92455,,Argent Pictures,
61011,/kDPeollsOtUtGqqEF4P29NwEjf5.png,Scythia Films,CA
88872,/cETPLqPc02ju1z9rHvCtp4ZbjwB.png,Firefly Films,NZ
9225,/7P0jOFlckSJ2HRijCcP8IspQc37.png,Blinder Films,IE
32289,,C.G. Cinema,
94,/huC7HqorvUThGIrENrbcHmQVUA0.png,ARTE France Cinéma,FR
122842,,Dauphin Films,
100818,,Neue Bioskop Film,
19771,,Piano,
30666,/g8LmDZVFWDRJW72sj0nAj1gh8ac.png,RT Features,BR
11199,/ursSXLOZaDxiZ84sEgfXbiFnYaa.png,SCOPE Pictures,BE
307,/gUi3pAUznQJpR296lw4mSVbB7zx.png,IFC Films,US
92720,,Tango Entertainment,
132639,,Mythic Pictures,
37208,,Vision Films,
53789,,Versimilitude,
53790,,Lola Pictures,
49969,,Silver State Production Services,
129976,,Ultracine Fotofilm s.r.c.,
102874,/3oHMY8bVdqo8c9KSQw1ehMc0o3V.png,Charades,FR
92840,,Logical Pictures,FR
124489,,Stand Alone Productions,
20311,,Syncopated Films,
60536,/chMIfiURhqvr6eWCrzxIwuaWVeN.png,Nadiadwala Grandson Entertainment,IN
12154,/dBjJavlqNxrYlqcbobDYYq9NuOq.png,Fox Star Studios,IN
101840,,Daniel H. Birman Productions,
130547,,Edgewood Studios,
39336,,Arthouse Roadshow Pictures,
132121,,Green Mountain Screen Partners,
3213,,Disney Channel,US
