id,vote_average,vote_count,title,genre_id,overview,popularity,original_language,release_date,production_companies_id,homepage,imdb_id,revenue,tagline,similar_movie_id
685932,0.0,0,Diamonds,[10402],The work merges artistic forms of a critical stance towards global structures of power. It uses free and accessible digital media tools to disclose their non-neutrality and explore their specific visual representation system.,0.982,en,2020-03-25,[],,,0,,[]
685933,0.0,0,Falling Through Holes,[10402],The boys discover a surprise at the local Winmart big-box. Their eyes are burning from the pixel light and from the heat of the sales. The music will be a deal tonight.,0.688,en,2020-03-25,[],,,0,,[]
685934,0.0,0,Sketch Artist,[10402],"Sketch Artist is a haunted car ride. Kim Gordon drives as “UnterPool” summons passengers throughout nighttime LA. The city drifts by, passengers intermingle in the back seat, and Gordon’s deadly stare shocks pedestrians along her route.",0.688,en,2020-03-25,[],,,0,,[]
685936,0.0,0,Mirage,[],A study in contrast of Las Vegas and the Red Rock Canyon.,0.688,en,2020-03-25,[],,,0,,[]
685937,0.0,0,Feminism is a browser,[],"This film intertwines the stories of an international feminist network of media pioneers and its fictional creation of the cyber entity Yeva. Yeva was born online and got bored of their webspace. Created in the ‘90s by the first generation of the network FACES, Yeva decided to meet those “mothers” in the physical world. An essayistic documentary journey begins, a feminist revision of the internet.",0.6,en,2020-03-25,[],,,0,,[]
685939,0.0,0,Goldfish,[16],A powerful dream inspires creation after it extinguishes the distracting facade of a monotonous reality.,0.688,en,2020-03-25,[],,,0,,[]
685940,0.0,0,The Lake and The Lake,[],"In the peripheries of a polluted lake in Bangalore, India’s Silicon Valley, the act of observation is interrupted by flying foam, noxious gases, daydreams, and questions from passers-by. Despite its spectacular toxicity, the lake remains a valuable resource and refuge for counter publics.",0.6,kn,2020-03-25,[],,,0,,[]
685941,0.0,0,I'm Not A Robot,[],"Filmmaker Sean Buckelew tries to sign up for an account, only to be confronted with the fact that our fear of technology is actually based on a reflection of our own cruel, morally compromised, and violent behavior.",0.688,en,2020-03-25,[],,,0,,[]
685943,0.0,0,KIDS,[16],An animated short exploring group dynamics. How do we define ourselves when we are all equal?,0.688,en,2020-03-25,[],,,0,,[]
685945,0.0,0,Scar,[],"Scratches on paper, traces of life, seemingly useless but still shed light.",0.6,en,2020-03-25,[],,,0,,[]
685963,0.0,0,The Garden of Delights,[],"In the garden of delights, a visitor from the underworld discovers that color and madness will be the ingredients to create his own universe.",0.6,en,2020-03-23,[],,,0,,[]
685964,1.0,1,Cabal,"[27, 28]",A military assassin is hired to hunt down and eliminate a bloodthirsty serial killer who is committing murders in a forbidden forest.,1.282,en,2020-03-24,[],,tt10850450,0,,[]
685965,7.0,2,Killer Dream Home,"[53, 10770]","When happy couple Jules and Josh buy their dream house on a magnificent estate, they recruit beautiful Morgan to help them with the interior design, unaware Morgan has history with the house and will stop at nothing to make it her own.",3.881,en,2020-03-22,[],,tt11922698,0,,[]
685966,0.0,0,Gorria,[],"Entrails, a flock of sheep, one spring. The cooing of doves and songs hummed. Some vultures, bones, flowers and many hands. Hands which feed, milk, stroke, shear, film; hands that kill. Hands which inhabit the doubts and contradictions about using other species.",0.6,xx,2020-03-06,[],,,0,,[]
685977,0.0,0,Gelebte Träume - Künstlerinnen des Surrealismus,[99],,0.6,de,2020-02-15,[20782],,tt11802054,0,,[]
685988,0.0,0,Joel Calls Indie Film Type Dudes,[35],Let's see how the indie film world is doing.,0.6,en,2020-03-23,[],https://vimeo.com/399776841,,0,,[]
685992,0.0,0,Pouť krkonošská,[99],,1.067,cs,2020-06-16,"[76609, 487]",,,0,,[]
685994,0.0,0,1968 – Reconstruction of the Occupation,[99],,0.6,cs,2020-08-20,"[487, 79194, 121911]",http://www.cinepoint.cz/project/rekonstruction-of-the-occupation/,,0,,"[105129, 93188, 230291, 632133, 545283, 385015, 402925, 415038]"
685997,0.0,0,Ayouni,[99],"Ayouni follows two high profile figures of the Syrian revolution and asks how do you rebuild country when its civil society has been disappeared, killed and scattered across continents?",0.635,en,2020-03-18,[],http://ayounifilm.com,tt8333892,0,,[]
685999,10.0,1,Escape From Fremantle,"[36, 80]","The year, 1952. After a father is sentenced to Fremantle Prison, he must hatch a daring escape with his friend; the cafeteria chef in order to make it to his young son's cricket game in time.",0.6,en,2020-03-25,[],,,0,,"[294652, 9555, 9404, 10628, 8982, 157845, 16608, 10544, 9659, 518978, 76341, 334543, 8810, 425972, 520765, 9355, 455714, 24238, 11646, 283552, 9396, 400090, 9519, 13787, 6972, 10493, 11823, 24266, 256917, 298382, 209269, 66125, 468210, 19344, 2759, 454033, 408439, 4441, 529531, 118957, 11574, 5257, 33134, 7863, 245846, 199534, 17381, 11020, 14215, 13965, 10094, 14138, 503346, 43930, 35412, 425774, 13852, 46221, 15912, 99758, 10310, 26178, 35119, 393834, 26405, 242022, 36040, 199818, 29483, 9630, 199575, 138496, 4175, 45569, 21828, 72277, 483411, 36123, 22455, 292010, 4657, 13439, 22882, 457265, 62761, 43089, 126757, 14937, 55731, 472796, 14904, 49958, 27444, 384525, 39780, 32595, 360799, 36614, 403570, 111738]"
